Source,Teff,Lum
250437313946591360,6546.75,9.428662
250437691903701760,4415.3975,0.15145934
251738448519542144,6113.3335,2.4943216
252151693092703872,3910.0,0.06035172
253578996620042368,4511.8423,0.20874006
254149127761288064,5594.2,0.67266595
254503750324186880,6016.0,1.470046
256181471928180352,4216.8735,0.12505981
256313172804742784,5175.0,0.4550276
256487136159035136,3943.715,0.0831893
257134507991047936,5843.6665,1.6248125
258127229551962880,3901.5,0.10192602
258179971749627776,4506.57,0.17343962
258821055748875264,4371.2134,0.13095677
259731623173675904,3848.6826,0.05310557
259968426192145792,4119.69,0.10445058
260094668172561024,3905.827,0.084401414
261053888986581120,3928.1133,0.058638982
262176455996527872,5727.0,1.6323828
262487308550679040,4153.6733,0.09796804
263594035722433792,4508.125,0.1823701
263696736979837312,5458.6,0.5388324
263916708025623680,5303.0,0.4782234
263916742385357056,3910.0,0.054128096
264769963408625920,4968.1,0.3703302
265722999473092608,6998.0,6.0424128
265724476942021248,4633.287,0.16154188
266722249382269568,4761.35,0.22099961
266985479339548288,5133.0,0.8258003
267378451667732608,4026.68,0.09083164
267675835201105408,4063.7324,0.08046813
267971809986209536,4867.8364,0.25155178
267971809987544064,5853.0,1.2013876
269413338450710016,5967.95,4.241764
271078480094420224,4798.8027,0.22138068
271083015576372096,6749.1626,3.3359106
272026980672350336,5834.0,1.0196781
272855565762295680,4046.5198,0.07858279
274275615090155008,4138.0,0.103882
274994940516356864,4041.33,0.06540643
274994974876091648,5065.75,0.39481664
276284736371675648,6446.6753,4.928947
277131944439543680,5016.8574,0.5647513
277752408300019200,4831.0,0.26841518
277940635240417536,3986.06,0.07948795
278138031939130624,4877.97,0.22033943
278309933710007808,4313.7246,0.14488803
279240223623130752,4894.3677,0.20574568
279240223626240256,5155.2026,0.329676
281118498723256960,4810.4,0.18602282
281179246740400384,5561.0,1.2579123
283569928616960768,4106.49,0.094422765
284694351053495296,4234.85,0.14210778
285317808507191808,3996.0,0.057965428
285317808507191936,6571.0,3.9380498
285329422098539520,4677.35,0.2825821
286064102023690624,5645.5,0.88683766
286293109680203008,4825.25,0.45684814
288781167053300480,4890.0,0.4967886
