"HIP","HD","RAhms","DEdms","RA(ICRS)","DE(ICRS)","pmRA","pmDE","Glon","Glat","d(pc)","ePARX/PARX","V","e_V","V_src","B-V","e_B-V","B-V_src","Mv","e_Mv","CombMag","V-K","e_V-K","K_src","Lbol_src","Lbol","e_Lbol","SpType","CLASS","SPECTAG","EEID(AU)","EEID(mas)","FPB-Earth","V-Earth(mag)","Teff","Teff_src","R*(Rsun)","R_src","M*(Msun)","M_src"
17978,24331,"03 50 35.33","-42 34 01.4",57.64721409,-42.56704861,197.24,622.9,247.9612,-50.6826,27.52,0.02,8.61,0.01,"G",0.91,0.01,"G",6.41,0.05,"___",2.26,0.02,"2MASS","V-K",0.3,0.06,"K3V","MAINSEQ","K",0.55,20.01,3.81E-10,32.16,4844,"Gray",0.78,"Turnbull",0.74,"Turnbull"
117147,222898,"23 44 58.17","-59 25 06.9",356.24237856,-59.41857154,401.93,-81.39,317.9079,-55.735,28.81,0.04,8.98,0.03,"VT",1,0,"G",6.68,0.11,"___",2.38,0.04,"2MASS","V-K",0.25,0.12,"K3V","MAINSEQ","K",0.5,17.36,4.61E-10,32.32,4845,"V-K",0.71,"Turnbull",0.7,"Turnbull"
19921,27442,"04 16 29.08","-59 18 06.3",64.12118133,-59.30174841,-47.99,-167.81,270.2037,-42.5633,18.24,0,4.44,0,"G",1.08,0.01,"G",3.14,0.01,"___",2.47,0.05,"JOHNSON, H. L. <COMM. LUNAR AND PLANETARY LAB., 4, 99> UBVRIJKL","V-K",6.88,0.05,"K1/2III","GIANT","GIANT",2.62,143.81,1.68E-11,31.38,4846,"VF05",3.43,"Takeda",1.48,"Takeda"
61016,"___","12 30 17.63","+30 59 39.0",187.57347592,30.99416027,-35.49,85.36,171.7533,83.9771,29.98,0.04,9.1,0.05,"VT",1.02,0.01,"G",6.71,0.13,"___",2.38,0.05,"2MASS","V-K",0.24,0.14,"G9V         ","___","___",0.49,16.45,4.75E-10,32.41,4847,"V-K",0.7,"Turnbull",0.7,"Turnbull"
101579,"___","20 35 12.48","+06 07 39.2",308.80198556,6.12756365,390.82,-226,51.0958,-19.7822,28.64,0.03,8.91,0.01,"G",0.96,0.02,"G",6.63,0.09,"___",2.38,0.02,"2MASS","V-K",0.26,0.09,"K2          ","___","___",0.51,17.94,4.37E-10,32.31,4847,"V-K",0.73,"Turnbull",0.71,"Turnbull"
58374,103949,"11 58 11.81","-23 55 25.5",179.54922864,-23.92375602,-172.51,-53.79,287.5799,37.3557,25.63,0.03,8.69,0.03,"VT",0.99,0.02,"G",6.65,0.09,"___",2.38,0.04,"2MASS","V-K",0.26,0.09,"K3V","MAINSEQ","K",0.51,19.81,4.48E-10,32.07,4848,"V-K",0.72,"Turnbull",0.71,"Turnbull"
37826,62509,"07 45 19.36","+28 01 34.7",116.33068263,28.02631031,-625.69,-45.95,192.2297,23.4077,10.36,0,1.16,0,"G",0.99,0.01,"G",1.08,0.01,"___",2.25,0.05,"LOW, F. J. <AP. J., 139, 1130> STELLAR PHOTOMETRY AT 10 MICRONS","V-K",40.95,0.05,"K0IIIvar","GIANT","GIANT",6.4,617.75,2.82E-12,30.03,4850,"Gray",9.06,"Turnbull",2.59,"Turnbull"
91605,"___","18 40 54.82","+31 32 06.4",280.22843563,31.53511253,86.68,-837.45,60.6655,15.8613,23.54,0.03,8.54,0.01,"G",0.87,0.02,"G",6.68,0.07,"*",2.32,0.02,"2MASS","V-K",0.24,0.07,"K3V","MAINSEQ","K",0.49,20.95,4.75E-10,31.85,4852,"Gray",0.7,"Turnbull",0.7,"Turnbull"
35296,57095,"07 17 29.58","-46 58 50.4",109.37323947,-46.98066437,-18.46,585.03,258.2739,-15.3372,14.59,0.01,6.7,0,"G",0.98,0.01,"G",5.88,0.02,"*",2.38,0.02,"2MASS","V-K",0.52,0.03,"K3V","MAINSEQ","K",0.72,49.59,2.21E-10,30.84,4852,"V-K",1.02,"Turnbull",0.85,"Turnbull"
36357,"___","07 29 01.66","+31 59 36.3",112.25691754,31.9934153,160.4,174.68,186.9158,21.3975,17.66,0.02,7.73,0.01,"G",0.92,0.02,"G",6.5,0.05,"___",2.23,0.02,"2MASS","V-K",0.28,0.05,"K2V","MAINSEQ","K",0.53,29.86,4.15E-10,31.18,4855,"Gray",0.74,"Turnbull",0.72,"Turnbull"
80683,148303,"16 28 21.31","-31 07 49.6",247.08877628,-31.13043274,-40.15,-159.63,348.1909,12.0978,29.44,0.04,8.73,0.03,"VT",0.97,0.03,"BVT-Red",6.39,0.11,"___",2.37,0.04,"2MASS","V-K",0.33,0.11,"K3V","MAINSEQ","K",0.57,19.42,3.53E-10,32.36,4856,"V-K",0.81,"Turnbull",0.75,"Turnbull"
63406,112914,"12 59 32.97","+41 59 10.8",194.88736041,41.98632389,-235.87,181.75,117.0802,75.0496,25.18,0.03,8.61,0.02,"VT",0.94,0.02,"G",6.6,0.08,"___",2.41,0.03,"2MASS","V-K",0.27,0.09,"G9V","MAINSEQ","G",0.52,20.78,4.22E-10,32.04,4861,"VF05",0.71,"Takeda",0.73,"Takeda"
58910,"104901B","12 04 48.83","-62 00 08.3",181.20343804,-62.00229235,-6.13,0.16,297.4895,0.3758,5.52,0.25,7.78,0.02,"VT-G",0.46,0.02,"BVT-G-Blue",9.07,0.64,"___",2.36,0.03,"2MASS","V-K",0.03,0.64,"F0Ib-II     ","WD","WD",0.17,30.12,4.18E-09,28.72,4863,"V-K",0.23,"Turnbull",0.4,"Turnbull"
61481,109647,"12 35 51.18","+51 13 17.3",188.96326263,51.22148513,113,-8.06,128.874,65.7266,26.97,0.03,8.52,0.02,"VT",0.95,0.02,"G",6.37,0.08,"___",2.36,0.03,"2MASS","V-K",0.33,0.09,"K0","MAINSEQ","K",0.58,21.37,3.48E-10,32.17,4864,"V-K",0.81,"Turnbull",0.75,"Turnbull"
1936,2025,"00 24 25.50","-27 01 37.1",6.10623866,-27.02697608,667.39,83.92,32.3573,-83.9868,18.22,0.02,7.92,0.01,"Koen",0.95,0.01,"Koen",6.61,0.05,"___",2.36,0.03,"2MASS","V-K",0.26,0.05,"K2V","MAINSEQ","K",0.51,28.17,4.38E-10,31.31,4865,"VF05",0.71,"Takeda",0.73,"Takeda"
12114,16160,"02 36 03.83","+06 53 00.1",39.01596864,6.88336423,1806.27,1442.5,163.3997,-47.5987,7.18,0,5.82,0.02,"VT-G",0.98,0.02,"BVT-G-Red",6.54,0.03,"___","___","___","___","B-V",0.29,0.1,"K3V","MAINSEQ","K",0.54,74.53,4.03E-10,29.31,4866,"VF05",0.76,"Takeda",0.81,"Takeda"
107625,207144,"21 47 59.96","-40 15 18.8",326.99984672,-40.25522434,107.49,-351.92,1.6503,-50.1453,23.7,0.02,8.6,0.03,"VT",0.96,0,"G",6.73,0.08,"___",2.36,0.03,"2MASS","V-K",0.24,0.08,"K3V","MAINSEQ","K",0.49,20.58,4.86E-10,31.88,4868,"V-K",0.69,"Turnbull",0.69,"Turnbull"
46580,82106,"09 29 55.12","+05 39 17.5",142.4796666,5.654867,-504.1,110,227.6718,37.5685,12.91,0.01,7.2,0.01,"Koen",1.03,0.01,"Koen",6.64,0.03,"___","___","___","___","B-V",0.27,0.1,"K3V","MAINSEQ","K",0.52,39.93,4.35E-10,30.6,4868,"VF05",0.73,"Takeda",0.79,"Takeda"
92250,173872,"18 48 01.45","-10 08 44.7",282.00603713,-10.14575215,57.76,-229.14,23.5026,-3.8574,27.79,0.03,8.45,0.01,"G",0.89,0.02,"G",6.23,0.08,"*",2.36,0.03,"2MASS","V-K",0.37,0.09,"K1V","MAINSEQ","K",0.61,22.04,3.08E-10,32.23,4871,"V-K",0.86,"Turnbull",0.78,"Turnbull"
33852,51866,"07 01 38.11","+48 22 47.0",105.40878559,48.37971973,546.46,-430.91,168.4408,21.5411,20.08,0.02,7.98,0.02,"VT",0.99,0,"G",6.46,0.06,"___",2.35,0.03,"2MASS","V-K",0.3,0.07,"K3V","MAINSEQ","K",0.55,27.35,3.83E-10,31.52,4875,"V-K",0.77,"Turnbull",0.74,"Turnbull"
54426,96612,"11 08 14.17","+38 25 35.5",167.05905563,38.42653265,-213.29,40.65,178.7544,65.6604,22.58,0.02,8.35,0,"G",0.94,0,"G",6.58,0.04,"___",2.35,0.02,"2MASS","V-K",0.27,0.05,"K0","MAINSEQ","K",0.52,23.03,4.27E-10,31.77,4878,"V-K",0.73,"Turnbull",0.72,"Turnbull"
80366,147776,"16 24 19.94","-13 38 28.2",246.08309261,-13.64115865,-220.32,-205.97,1.5286,24.2212,21.52,0.02,8.38,0.01,"Koen",0.95,0.01,"Koen",6.72,0.06,"___",2.4,0.02,"2MASS","V-K",0.24,0.07,"K2V","MAINSEQ","K",0.49,22.8,4.8E-10,31.68,4880,"VF05",0.7,"Takeda",0.73,"Takeda"
83990,154577,"17 10 10.27","-60 43 48.7",257.54277606,-60.73020472,71.14,589.82,329.8178,-12.2216,13.62,0.01,7.39,0.02,"VT",0.89,0.02,"G",6.72,0.04,"___",2.3,0.03,"2MASS","V-K",0.23,0.05,"K2V","MAINSEQ","K",0.48,35.4,4.97E-10,30.65,4881,"VF05",0.68,"Takeda",0.69,"Takeda"
19861,26581,"04 15 32.20","+58 31 22.1",63.8841701,58.52280199,186.02,-218.92,147.0013,5.5426,27.86,0.03,8.71,0.03,"VT",1.01,0.01,"G",6.48,0.1,"___",2.34,0.03,"2MASS","V-K",0.3,0.1,"K0","MAINSEQ","K",0.54,19.54,3.9E-10,32.23,4881,"V-K",0.76,"Turnbull",0.73,"Turnbull"
62505,111312,"12 48 32.26","-15 43 10.5",192.13441477,-15.71958151,79.7,44.66,301.9057,47.1464,23.83,0.07,7.87,0.01,"Koen",0.94,0.01,"Koen",5.98,0.17,"*",2.35,0.02,"2MASS","V-K",0.44,0.17,"K2V","MAINSEQ","K",0.67,27.92,2.61E-10,31.82,4881,"V-K",0.74,"Takeda",0.8,"Takeda"
